address,LATITUDE,LONGITUDE
461 SEGAR RD,1.386974345,103.7712801
817A KEAT HONG LINK,1.376607572,103.748546
601 HOUGANG AVE 4,1.370678921,103.8871366
431 BT PANJANG RING RD,1.386025012,103.7708477
570 CHOA CHU KANG ST 52,1.394201265,103.7444652
747 JURONG WEST ST 73,1.347615757,103.697321
160 SIMEI RD,1.345170371,103.9596759
30 BENDEMEER RD,1.319093438,103.8639053
209 ANG MO KIO AVE 3,1.368970796,103.8432845
350 CLEMENTI AVE 2,1.315620153,103.7701917
442 ANG MO KIO AVE 10,1.365653269,103.8552322
473 CHOA CHU KANG AVE 3,1.379618211,103.7381155
113 TAO CHING RD,1.333184498,103.7243543
768 BEDOK RESERVOIR VIEW,1.335664343,103.9373217
132 CLARENCE LANE,1.292255234,103.8148798
326 BT BATOK ST 33,1.362570999,103.7481555
5 SELETAR WEST FARMWAY 6,1.396243456,103.8704474
614 BEDOK RESERVOIR RD,1.33240904,103.9167889
893D WOODLANDS DR 50,1.436318452,103.789948
228 CHOA CHU KANG CTRL,1.380947507,103.7464958
532 PASIR RIS DR 1,1.371277214,103.9507466
312 UBI AVE 1,1.32967348,103.9037843
27 GHIM MOH LINK,1.308371263,103.7851335
166 HOUGANG AVE 1,1.351175669,103.8881953
297 CHOA CHU KANG AVE 2,1.377078974,103.741912
657 CHOA CHU KANG CRES,1.400445995,103.7498724
960 HOUGANG AVE 9,1.377102517,103.8784827
36 DOVER RD,1.299945581,103.7827242
154 BISHAN ST 13,1.346625075,103.8550332
124 YISHUN ST 11,1.4345903,103.8311393
306C PUNGGOL PL,1.406403852,103.9059582
602 WOODLANDS DR 42,1.438217416,103.7963915
305 BT BATOK ST 31,1.357861008,103.7479345
18 TIONG BAHRU RD,1.285727781,103.8325924
201B COMPASSVALE DR,1.388313116,103.8939236
106C PUNGGOL FIELD,1.397366642,103.9075622
725 ANG MO KIO AVE 6,1.372790817,103.8469112
666A JURONG WEST ST 65,1.339767995,103.7013798
109 YISHUN RING RD,1.432799057,103.8286462
391 YISHUN AVE 6,1.429467692,103.8491714
929 JURONG WEST ST 92,1.34129441,103.6892708
158 MEI LING ST,1.292740384,103.8028067
354D ADMIRALTY DR,1.450783882,103.8186449
440 ANG MO KIO AVE 10,1.366427898,103.8543115
146 MEI LING ST,1.293914777,103.8044543
105 CLEMENTI ST 12,1.32271179,103.7698881
206B COMPASSVALE LANE,1.387438071,103.8969321
553 JURONG WEST ST 42,1.353131925,103.7189436
367 TAMPINES ST 34,1.358619461,103.9607886
273B BISHAN ST 24,1.356072993,103.8434702
821 TAMPINES ST 81,1.348419767,103.9346491
623 HOUGANG AVE 8,1.370513873,103.8823235
323 TAMPINES ST 33,1.351590043,103.9583953
912 JURONG WEST ST 91,1.341358007,103.6872696
367 WOODLANDS AVE 5,1.433504242,103.7864961
556 ANG MO KIO AVE 10,1.372032363,103.8576254
160 WOODLANDS ST 13,1.433333284,103.7749216
780E WOODLANDS CRES,1.44800009,103.8017004
948 JURONG WEST ST 91,1.344408267,103.6909587
107 POTONG PASIR AVE 1,1.334709369,103.8684132
154 BT BATOK ST 11,1.347735583,103.743984
115 POTONG PASIR AVE 1,1.337269998,103.8628066
403 ADMIRALTY LINK,1.45391726,103.8161301
451 PASIR RIS DR 6,1.371469056,103.958128
519 SERANGOON NTH AVE 4,1.371992234,103.8745903
171 BT BATOK WEST AVE 8,1.346100212,103.7402296
611 CHOA CHU KANG ST 62,1.399742048,103.7438618
187 PUNGGOL CTRL,1.398752034,103.9108807
608 YISHUN ST 61,1.420777466,103.8352195
196B BOON LAY DR,1.34278861,103.7143014
628 JURONG WEST ST 65,1.342204167,103.6994476
30 MARINE CRES,1.304222795,103.911164
325 BT BATOK ST 33,1.362601611,103.7474249
343 WOODLANDS AVE 1,1.431745661,103.7806583
204 CHOA CHU KANG AVE 1,1.380791257,103.7492267
83 STRATHMORE AVE,1.294642864,103.808264
152 YISHUN ST 11,1.431039775,103.834755
218A BOON LAY AVE,1.349968587,103.7105396
518 WEST COAST RD,1.308217599,103.7589432
342B YISHUN RING RD,1.430245961,103.8448383
439A SENGKANG WEST AVE,1.391875231,103.8778554
