,address,LATITUDE,LONGITUDE
0,148 WOODLANDS ST 13,1.43576274995203,103.77402996229
1,426 CLEMENTI AVE 3,1.31158040643011,103.764211279777
2,85 CIRCUIT RD,1.32265241052434,103.885755259463
3,467 TAMPINES ST 44,1.35996852651128,103.954665911889
4,367 CORPORATION DR,1.33769782307079,103.719145674511
5,159 YUNG PING RD,1.32928599309236,103.72238572895
6,518 CHOA CHU KANG ST 51,1.39076886489636,103.742553977401
7,918 JURONG WEST ST 91,1.34057937455948,103.687170663318
8,682A EDGEDALE PLAINS,1.40354774923551,103.916291277867
9,416 ANG MO KIO AVE 10,1.3645417089084,103.855103690549
10,415 SEMBAWANG DR,1.45162631706751,103.81857298042
11,204 TOA PAYOH NTH,1.34148414007449,103.849067723667
12,175 BISHAN ST 13,1.34896062200566,103.853736013686
13,333B YISHUN ST 31,1.43195783277463,103.845379076263
14,19 CHAI CHEE RD,1.32723388955932,103.922217484759
15,422 CANBERRA RD,1.45343668669671,103.818449528171
16,472 CHOA CHU KANG AVE 3,1.37908544061279,103.737542449427
17,2 LOR 7 TOA PAYOH,1.33860752552334,103.853515565238
18,688C CHOA CHU KANG CRES,1.40318701316163,103.750993347138
19,427 HOUGANG AVE 6,1.37447080577543,103.893091053432
20,186 BOON LAY AVE,1.34572728320792,103.711027373165
21,100 COMMONWEALTH CRES,1.30770527644458,103.801272476263
22,304 WOODLANDS ST 31,1.42989255980863,103.773853927578
23,44 OWEN RD,1.31551162976199,103.850377879064
24,58 STRATHMORE AVE,1.29308496028867,103.810788903719
25,302C PUNGGOL PL,1.40472047410992,103.904967908234
26,246 TAMPINES ST 21,1.35322549774418,103.947232182338
27,119D RIVERVALE DR,1.38530593043746,103.903609872053
28,204 SERANGOON CTRL,1.35243827939715,103.873298136881
29,935 YISHUN CTRL 1,1.42518005921711,103.836596318713
30,230 PENDING RD,1.3761666118542,103.772207125572
31,704 BEDOK RESERVOIR RD,1.33635490577951,103.920203566512
32,710 ANG MO KIO AVE 8,1.37104583077812,103.848186835874
33,768 YISHUN AVE 3,1.42436151334868,103.833940260983
34,334C ANCHORVALE CRES,1.39742222673837,103.889703923973
35,449 PASIR RIS DR 6,1.37084212079513,103.958350684252
36,208A CLEMENTI AVE 6,1.3219234293777,103.762384826925
37,423 FAJAR RD,1.38539699350939,103.769211131634
38,652A JURONG WEST ST 61,1.33667913524897,103.698333163802
39,311 JURONG EAST ST 32,1.3476665757372,103.73257867693
40,329 TAMPINES ST 32,1.35335552120961,103.958728583436
41,418 CHOA CHU KANG AVE 4,1.3823730080302,103.741352252705
42,491E TAMPINES ST 45,1.36249895422368,103.955251289212
43,144 JLN BT MERAH,1.27730543179553,103.829955551262
44,40 BEO CRES,1.28905634657056,103.827502108439
45,542 HOUGANG AVE 8,1.37695171842745,103.891748637325
46,210C COMPASSVALE LANE,1.38424155856171,103.899542187144
47,678B JURONG WEST ST 64,1.34512819470515,103.703897417226
48,239 LOR 1 TOA PAYOH,1.34050894159915,103.851040712112
49,118 TECK WHYE LANE,1.37987102781951,103.750647321595
50,669B JURONG WEST ST 64,1.34284965706275,103.702804278151
51,645 JLN TENAGA,1.33167117872807,103.906537912581
52,249 YISHUN AVE 9,1.43524068670504,103.841852407535
53,330 SEMBAWANG CL,1.44680507130646,103.817811631963
54,608 HOUGANG AVE 4,1.37084420462336,103.885431882212
55,33 TELOK BLANGAH WAY,1.27436196353296,103.822184004574
56,3 UPP ALJUNIED LANE,1.33399297498361,103.879892742452
57,109 JURONG EAST ST 13,1.3383617052828,103.735911158508
58,293A COMPASSVALE CRES,1.39653303935383,103.895867598027
59,14B LOR 7 TOA PAYOH,1.33573887362341,103.858408403539
60,547D SEGAR RD,1.38890112645022,103.7690032304
61,620 BT PANJANG RING RD,1.38585558267615,103.761737460728
62,403B FERNVALE LANE,1.38879143490193,103.872979832028
63,165A PUNGGOL CTRL,1.39499896632261,103.914754330362
64,7 KIM TIAN PL,1.28348511207749,103.827043785507
65,640 BEDOK RESERVOIR RD,1.33210132151895,103.904953194958
66,34 CIRCUIT RD,1.32904361761824,103.887438053241
67,411 PANDAN GDNS,1.31902239271028,103.746691863405
68,122 HOUGANG AVE 1,1.35374408051544,103.886159336002
69,332 CLEMENTI AVE 2,1.31474029464441,103.76748755096
70,539 JURONG WEST AVE 1,1.35087571532422,103.716353293406
71,404 CHOA CHU KANG AVE 3,1.38012964850802,103.738888788773
72,908 TAMPINES AVE 4,1.35054009247178,103.938716143463
73,665B JURONG WEST ST 64,1.33979831711037,103.702943619809
74,624 JURONG WEST ST 61,1.34078438355043,103.697876125215
75,45 KIM CHENG ST,1.2842264860305,103.831606269855
76,12 REDHILL CL,1.2842264860305,103.831606269855
77,858 JURONG WEST ST 81,1.34828949021977,103.696205676966
78,157 BEDOK STH AVE 3,1.31873607930176,103.945715581305
79,258B COMPASSVALE RD,1.39290277450107,103.897404571333
80,316C ANCHORVALE LINK,1.39316162628404,103.888370952522
81,296 YISHUN ST 20,1.43539224579712,103.835500981499
82,256A SUMANG WALK,1.4060916048068,103.895706618576
83,107 YISHUN RING RD,1.4322180811837,103.827520197458
84,236 YISHUN RING RD,1.43416807984448,103.838998943947
85,523D TAMPINES CTRL 7,1.35935847028614,103.938908760398
86,37 LOR 5 TOA PAYOH,1.33452611314579,103.855915402039
87,510B WELLINGTON CIRCLE,1.453608954893,103.820883631768
88,832 TAMPINES ST 82,1.350101714776,103.935397838075
89,149 BEDOK RESERVOIR RD,1.33576929801793,103.912779600202
