school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,BEDOK,EAST,PRIMARY
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT",BEDOK,EAST,SECONDARY
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,Kaki Bukit MRT (nearest),BEDOK,EAST,PRIMARY
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,TANAH MERAH MRT,BEDOK,EAST,SECONDARY
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,Pasir Ris MRT Station,PASIR RIS,EAST,PRIMARY
TAMPINES MERIDIAN JUNIOR COLLEGE,21   Pasir Ris Street 71,518799,Pasir Ris MRT Station,PASIR RIS,EAST,JUNIOR COLLEGE
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,Pasir Ris MRT,PASIR RIS,EAST,PRIMARY
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,PASIR RIS MRT,PASIR RIS,EAST,SECONDARY
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,PASIR RIS MRT,PASIR RIS,EAST,SECONDARY
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,Pasir Ris MRT Station,PASIR RIS,EAST,PRIMARY
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,Pasir Ris MRT,PASIR RIS,EAST,PRIMARY
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,PASIR RIS MRT,PASIR RIS,EAST,SECONDARY
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,Pasir Ris MRT Station,PASIR RIS,EAST,PRIMARY
HAI SING CATHOLIC SCHOOL,9    PASIR RIS DRIVE 6,519421,PASIR RIS MRT,PASIR RIS,EAST,SECONDARY
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,Pasir Ris MRT Station,PASIR RIS,EAST,PRIMARY
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,Tampines West (Downtown Line); Tampines (East-West Line),TAMPINES,EAST,PRIMARY
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,"TAMPINES MRT, TAMPINES WEST MRT",TAMPINES,EAST,SECONDARY
ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,"TAMPINES MRT, TAMPINES WEST MRT",TAMPINES,EAST,SECONDARY
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,Tampines MRT,TAMPINES,EAST,PRIMARY
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,TAMPINES EAST MRT,TAMPINES,EAST,SECONDARY
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),TAMPINES,EAST,PRIMARY
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT",TAMPINES,EAST,SECONDARY
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,Tampines,TAMPINES,EAST,PRIMARY
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT",TAMPINES,EAST,SECONDARY
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,Tampines and Simei Stations,TAMPINES,EAST,PRIMARY
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,Tampines MRT Station,TAMPINES,EAST,PRIMARY
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,Tampines MRT Station,TAMPINES,EAST,PRIMARY
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,"TAMPINES MRT, TAMPINES EAST MRT,  TAMPINES WEST MRT",TAMPINES,EAST,SECONDARY
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,Tampines MRT,TAMPINES,EAST,PRIMARY
TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,TAMPINES MRT,TAMPINES,EAST,SECONDARY
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,Tampines MRT,TAMPINES,EAST,PRIMARY
SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,"TAMPINES MRT, TAMPINES WEST MRT",TAMPINES,EAST,SECONDARY
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,"Tampines West, Tampines Central",TAMPINES,EAST,PRIMARY
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SIMEI MRT,TAMPINES,EAST,SECONDARY
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,Simei MRT Station,TAMPINES,EAST,PRIMARY
SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,534237,"HOUGANG MRT, KANGKAR LRT",HOUGANG,NORTH,SECONDARY
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,"Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang",HOUGANG,NORTH,PRIMARY
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,"HOUGANG MRT, BUANGKOK MRT",HOUGANG,NORTH,SECONDARY
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,HOUGANG MRT,HOUGANG,SOUTH,SECONDARY
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,HOUGANG,SOUTH,PRIMARY
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,2km walk to Hougang MRT,HOUGANG,SOUTH,PRIMARY
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,"Kovan (NE13), Serangoon(NE12/CC13)",HOUGANG,EAST,PRIMARY
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,"KOVAN MRT, SERANGOON MRT",HOUGANG,EAST,SECONDARY
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT",TOA PAYOH,SOUTH,SECONDARY
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,Hougang MRT Station Yio Chu Kang MRT Station,HOUGANG,NORTH,PRIMARY
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,Nil,HOUGANG,NORTH,PRIMARY
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,HOUGANG MRT,HOUGANG,NORTH,SECONDARY
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,HOUGANG,NORTH,PRIMARY
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,"Hougang, Buangkok",HOUGANG,SOUTH,PRIMARY
XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,HOUGANG MRT,HOUGANG,NORTH,SECONDARY
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,Kovan MRT Station,HOUGANG,SOUTH,PRIMARY
YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,"KOVAN MRT, SERANGOON MRT, HOUGANG MRT",HOUGANG,SOUTH,SECONDARY
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,SENG KANG,EAST,PRIMARY
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,Buangkok,SENG KANG,NORTH,PRIMARY
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,SENG KANG,NORTH,PRIMARY
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",SENG KANG,NORTH,PRIMARY
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT",SENG KANG,NORTH,SECONDARY
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,Sengkang Station,SENG KANG,NORTH,PRIMARY
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT",SENG KANG,NORTH,SECONDARY
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT",SENG KANG,NORTH,SECONDARY
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,NEL - Sengkang Station LRT - Bakau Station,SENG KANG,NORTH,PRIMARY
SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,545090,"SENGKANG MRT, RANGGUNG LRT",SENG KANG,NORTH,SECONDARY
COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,Sengkang,SENG KANG,NORTH,PRIMARY
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,Nearest LRT Station : Rumbia,SENG KANG,NORTH,PRIMARY
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,Sengkang MRT,SENG KANG,NORTH,PRIMARY
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT",HOUGANG,NORTH,SECONDARY
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SENGKANG MRT,SENG KANG,NORTH,SECONDARY
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,"Ang Mo Kio, Serangoon",SERANGOON,NORTH,PRIMARY
SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,555889,"SERANGOON MRT, ANG MO KIO MRT",SERANGOON,SOUTH,SECONDARY
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SERANGOON MRT,SERANGOON,SOUTH,SECONDARY
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT",SERANGOON,SOUTH,PRIMARY
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,Serangoon Station,SERANGOON,SOUTH,PRIMARY
NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),SERANGOON,SOUTH,JUNIOR COLLEGE
ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,SERANGOON MRT,SERANGOON,SOUTH,SECONDARY
ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,SERANGOON MRT,SERANGOON,SOUTH,SECONDARY
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,Lor Chuan MRT Station (Circle Line),SERANGOON,SOUTH,PRIMARY
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.",SERANGOON,SOUTH,PRIMARY
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,"ANG MO KIO MRT, YIO CHU KANG MRT",ANG MO KIO,NORTH,SECONDARY
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,Ang Mo Kio MRT,ANG MO KIO,SOUTH,PRIMARY
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,ANG MO KIO MRT,ANG MO KIO,SOUTH,SECONDARY
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,Ang Mo Kio & Bishan,ANG MO KIO,SOUTH,PRIMARY
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,ANG MO KIO MRT,ANG MO KIO,SOUTH,SECONDARY
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,"ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)",ANG MO KIO,SOUTH,SECONDARY
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT (End 2021)",ANG MO KIO,NORTH,PRIMARY
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,"Bishan MRT, Ang Mo Kio MRT Stations",ANG MO KIO,SOUTH,PRIMARY
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,Yio Chu Kang MRT Station,ANG MO KIO,NORTH,PRIMARY
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,ANG MO KIO,NORTH,JUNIOR COLLEGE
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,ANG MO KIO,SOUTH,SECONDARY
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,YIO CHU KANG MRT,ANG MO KIO,SOUTH,SECONDARY
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,ANG MO KIO,SOUTH,PRIMARY
MAYFLOWER PRIMARY SCHOOL,6    Ang Mo Kio Avenue 2,569948,Yio Chu Kang MRT Station.,ANG MO KIO,SOUTH,PRIMARY
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station",BISHAN,NORTH,JUNIOR COLLEGE
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,"ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT, BRIGHT HILL MRT (target opening in Q3, 2021)",BISHAN,SOUTH,SECONDARY
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,"BISHAN MRT, MARYMOUNT MRT",BISHAN,SOUTH,MIXED LEVELS
AI TONG SCHOOL,100  Bright Hill Drive,579646,Bishan MRT,BISHAN,SOUTH,PRIMARY
WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,"BISHAN MRT, MARYMOUNT MRT",BISHAN,SOUTH,SECONDARY
CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,579767,BISHAN MRT,BISHAN,NORTH,PRIMARY
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,Bishan MRT Station,BISHAN,SOUTH,PRIMARY
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,BISHAN MRT,BISHAN,SOUTH,SECONDARY
GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,Bishan MRT,BISHAN,SOUTH,PRIMARY
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,BISHAN MRT,BISHAN,SOUTH,SECONDARY
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,Beauty World,BUKIT TIMAH,WEST,PRIMARY
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,"Beauty World, Bukit Batok and Clementi Stations",BUKIT TIMAH,WEST,PRIMARY
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,King Albert Park MRT,BUKIT TIMAH,WEST,PRIMARY
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,BUKIT TIMAH,WEST,SECONDARY
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,"JURONG EAST MRT, CLEMENTI MRT",JURONG EAST,WEST,SECONDARY
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,"Lakeside MRT Station, Jurong East MRT Station",JURONG EAST,WEST,PRIMARY
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,"Jurong East, Bukit Batok",JURONG EAST,WEST,PRIMARY
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT",JURONG EAST,WEST,SECONDARY
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,JURONG EAST,WEST,PRIMARY
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,"JURONG EAST MRT, CHINESE GARDEN MRT",JURONG EAST,WEST,SECONDARY
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,Lakeside MRT,JURONG WEST,WEST,PRIMARY
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,LAKESIDE MRT,JURONG WEST,WEST,SECONDARY
YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,LAKESIDE MRT,JURONG WEST,WEST,SECONDARY
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,Pioneer MRT Station (EW28),JURONG WEST,WEST,PRIMARY
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,JURONG WEST,WEST,PRIMARY
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT",JURONG WEST,WEST,SECONDARY
WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,BOON LAY MRT,JURONG WEST,WEST,SECONDARY
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,BOON LAY MRT,JURONG WEST,WEST,SECONDARY
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,Pioneer MRT Station,JURONG WEST,WEST,PRIMARY
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,Pioneer MRT Station,JURONG WEST,WEST,PRIMARY
JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,Boon Lay MRT Station (Jurong Point),JURONG WEST,WEST,PRIMARY
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT",JURONG WEST,WEST,SECONDARY
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,Boon Lay Station,JURONG WEST,WEST,PRIMARY
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,Boon Lay MRT Station,JURONG WEST,WEST,PRIMARY
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,Boon Lay MRT,JURONG WEST,WEST,PRIMARY
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,Lakeside,JURONG WEST,WEST,PRIMARY
SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,W11 Lakeside,JURONG WEST,WEST,PRIMARY
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,"LAKESIDE MRT, CHINESE GARDEN MRT",JURONG WEST,WEST,SECONDARY
YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,LAKESIDE MRT,JURONG WEST,WEST,SECONDARY
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT",JURONG WEST,WEST,SECONDARY
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,Lakeside & Boon Lay,JURONG WEST,WEST,PRIMARY
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,"BOON LAY MRT, LAKESIDE MRT",JURONG WEST,WEST,MIXED LEVELS
YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,BUKIT BATOK MRT,BUKIT BATOK,WEST,SECONDARY
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK MRT,BUKIT BATOK,WEST,SECONDARY
MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,Bukit Batok (NS 2),BUKIT BATOK,WEST,CENTRALISED INSTITUTE
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,BUKIT BATOK,WEST,PRIMARY
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT",BUKIT BATOK,WEST,SECONDARY
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,BUKIT BATOK,WEST,PRIMARY
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,"BUKIT BATOK MRT, BUKIT GOMBAK MRT",BUKIT BATOK,WEST,SECONDARY
SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,BUKIT GOMBAK MRT,BUKIT BATOK,WEST,SECONDARY
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,Bukit Gombak MRT Station,BUKIT BATOK,WEST,PRIMARY
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,Bukit Gombak,BUKIT BATOK,WEST,PRIMARY
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,BUKIT BATOK MRT,BUKIT BATOK,WEST,SECONDARY
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,BUKIT BATOK,WEST,PRIMARY
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,BUKIT BATOK,WEST,PRIMARY
WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,"JELAPANG LRT, SENJA LRT",BUKIT PANJANG,WEST,SECONDARY
ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,JELAPANG LRT,BUKIT PANJANG,WEST,SECONDARY
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,"Bukit Panjang MRT, SENJA LRT (A13)",BUKIT PANJANG,WEST,PRIMARY
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,"Senja LRT station, Jelapang LRT Station",BUKIT PANJANG,WEST,PRIMARY
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,BUKIT PANJANG,WEST,SECONDARY
FAJAR SECONDARY SCHOOL,31   GANGSA ROAD,678972,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT",BUKIT PANJANG,WEST,SECONDARY
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,LRT: Fajar Station,BUKIT PANJANG,WEST,PRIMARY
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,Cashew and Hillview,BUKIT PANJANG,WEST,PRIMARY
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,BUKIT PANJANG,WEST,PRIMARY
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,"DOWNTOWN LINE 2, CASHEW MRT",BUKIT PANJANG,WEST,SECONDARY
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,BANGKIT LRT,BUKIT PANJANG,WEST,SECONDARY
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,"Bangkit LRT, Fajar LRT Station",BUKIT PANJANG,WEST,PRIMARY
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,Jelapang LRT,BUKIT PANJANG,WEST,PRIMARY
JURONG PIONEER JUNIOR COLLEGE,21   Teck Whye Walk,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),CHOA CHU KANG,WEST,JUNIOR COLLEGE
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,Choa Chu Kang MRT & LRT,CHOA CHU KANG,WEST,PRIMARY
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,Yew Tee MRT,CHOA CHU KANG,WEST,PRIMARY
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,CHOA CHU KANG MRT,CHOA CHU KANG,WEST,SECONDARY
TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,688848,"CHUA CHU KANG MRT, PHOENIX LRT",CHOA CHU KANG,WEST,SECONDARY
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,Yew Tee MRT Station,CHOA CHU KANG,WEST,PRIMARY
UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,YEW TEE MRT,CHOA CHU KANG,WEST,SECONDARY
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,Yew Tee MRT,CHOA CHU KANG,WEST,PRIMARY
