school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,o   Alight at Yishun MRT Station o   Take Exit C o   Walk towards Yishun Street 21,YISHUN,NORTH,PRIMARY
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,Yishun,YISHUN,NORTH,PRIMARY
YISHUN INNOVA JUNIOR COLLEGE,3    YISHUN RING ROAD,768675,"Yishun, Khatib",YISHUN,NORTH,JUNIOR COLLEGE
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,Yishun,YISHUN,NORTH,PRIMARY
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,Khatib,YISHUN,NORTH,PRIMARY
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,KHATIB MRT,YISHUN,NORTH,SECONDARY
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,"YISHUN MRT, KHATIB MRT",YISHUN,NORTH,SECONDARY
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,Yishun MRT Station,YISHUN,NORTH,PRIMARY
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,"CANBERRA MRT, YISHUN MRT",YISHUN,NORTH,SECONDARY
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,Yishun MRT station,YISHUN,NORTH,PRIMARY
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,Yishun Khatib,YISHUN,NORTH,PRIMARY
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,Yishun MRT Station,YISHUN,NORTH,PRIMARY
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,Yishun MRT Station,YISHUN,NORTH,PRIMARY
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,Kupang LRT Station (SW3),SENG KANG,EAST,PRIMARY
SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,Fernvale LRT (SW5) - (Sengkang West Loop),SENG KANG,EAST,PRIMARY
