address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
404B FERNVALE LANE,FERNVALE LRT STATION,0.5011746627819396,2,The Seletar Mall,0.45337921091437317,3,791447,0.4407397569957488,8,0.5343709469543507,1,0.29874177964875576,7,797701,0.1627231981620472,2,6,10.790274753788633
225A COMPASSVALE WALK,RANGGUNG LRT STATION,0.4143508187788752,9,Rivervale Plaza,0.4325447958146551,3,540118,0.43003632589540386,8,0.9114609201013237,1,0.7130981176131073,1,545166,0.19922768604306246,7,10,11.669832228457958
990A JURONG WEST ST 93,PIONEER MRT STATION,0.36137007775381114,1,Pioneer Mall,0.7488831296802952,1,627851,0.2339651875639548,4,0.7122781807725376,1,0.34578091582012443,1,648200,0.5296771924931903,3,4,18.07568932988023
166B TECK WHYE CRES,KEAT HONG LRT STATION,0.6965327061380124,5,Teck Whye Shopping Centre,0.35896294292807224,3,680142,0.3074980222653711,7,0.978111138199233,1,0.7405084290863141,3,688261,0.09926356194692121,3,8,14.816339221691047
489C CHOA CHU KANG AVE 5,SOUTH VIEW LRT STATION,0.7720858281236671,1,Sunshine Place,0.22171681796914383,2,680475,0.2415428853188019,4,2.3161135615374393,0,1.4173756671565558,0,689905,0.293757591991243,2,3,15.492131785148027
40 BEDOK STH RD,TANAH MERAH MRT STATION,0.9971911241881416,1,Bedok Mall,1.2455727128539498,0,461057,0.4101077209320335,3,0.38349850059911295,3,0.24779424371293496,8,469317,0.4044581547092018,2,5,10.243452249543592
117 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.2912434565026605,1,West Mall,0.23408221891176967,1,658713,0.23102230220009842,8,0.8281170540697053,1,1.286749107789373,0,659163,0.7629406906901111,3,6,13.255501272130974
139 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.46511586587427345,2,Djitsun Mall,1.991784521094,0,470631,0.22514941884517958,3,0.16475169386315255,1,0.656263404314796,3,479239,0.49740753557604833,2,4,8.2625366552323
657 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.5091024065260005,1,888 Plaza,0.3641068684355858,4,730888,0.3641068684355858,7,0.43026844357711735,1,2.013638404309237,0,738240,0.2398682788358289,5,5,16.950756351280365
307A ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.7169981014390812,1,AMK Hub,0.5859856418611089,3,560215,0.29378495913247726,7,0.47133930667760415,4,0.592432501989839,4,569920,0.607278854997016,2,6,8.097630974005884
8A BOON TIONG RD,TIONG BAHRU MRT STATION,0.34737195078110505,1,Tiong Bahru Plaza,0.3461442162374489,2,169252,0.2102276787957949,12,0.170010733181264,6,0.2962671965662162,4,169485,0.5302238297012369,2,5,2.544610062715461
216A COMPASSVALE DR,SENGKANG LRT STATION,0.24136083675417178,9,Compass One,0.23135805853197614,1,543215,0.13241921163493434,7,0.871055312130492,2,1.1528864950704012,0,545080,0.2943005531143134,7,11,11.738167353640055
