blank,latitude,longitude
,1.27236,103.80269
,1.28385,103.82998
,1.32231,103.84281
,1.33632,103.76487
,1.30976,103.85478
,1.34386,103.77304
,1.30017,103.89732
,1.31412,103.78025
,1.32834,103.81051
,1.32299,103.82706
,1.29226,103.84569
,1.3338,103.88171
,1.29076,103.8318
,1.33187,103.87562
,1.32177,103.88766
,1.29178,103.84661
,1.3834,104.00168
,1.32975,103.95017
,1.38594,103.85876
,1.3831,103.86146
,1.3474,103.96351
,1.33718,103.95623
,1.3903,103.85525
,1.38829,103.83757
,1.37868,103.95217
,1.36304,103.96564
,1.30848,103.91938
,1.32903,103.94688
,1.37949,103.87519
,1.38725,103.83883
,1.325,103.9144
,1.32473,103.94905
,1.36093,103.88213
,1.39904,103.87385
,1.32672,103.80766
,1.32686,103.78281
,1.30411,103.86215
,1.29926,103.84384
,1.33058,103.84797
,1.29284,103.83496
,1.31571,103.78122
,1.35429,103.83436
,1.31295,103.78123
,1.29834,103.84588
,1.3045,103.84746
,1.30579,103.86698
,1.28682,103.85196
,1.27528,103.81822
,1.30317,103.92061
,1.32245,103.95077
,1.34438,103.96028
,1.3673,103.88983
,1.37169,103.95238
,1.32742,103.95308
,1.32203,103.7964
,1.36101,103.83017
,1.32429,103.80548
,1.35106,103.84462
,1.34867,103.84355
,1.35016,103.83518
,1.33701,103.78506
,1.3773,103.80547
,1.32972,103.87305
,1.31148,103.85815
,1.29572,103.84886
,1.31911,103.80606
,1.32545,103.81767
,1.32229,103.78808
,1.37097,103.78084
,1.28147,103.84764
,1.37272,103.83957
,1.38831,103.85737
,1.37219,103.94109
,1.32163,103.94845
,1.31303,103.91766
,1.35926,103.94448
,1.39123,103.9873
,1.37102,103.83239
,1.3201,103.92446
,1.38805,103.83615
,1.32385,103.95039
,1.34897,103.88357
,1.38545,103.87791
,1.37873,103.94567
,1.38068,103.83749
,1.36391,103.94869
,1.38405,103.86045
,1.38559,103.86574
,1.39065,103.98809
,1.31938,103.92793
,1.34607,103.885
,1.36796,103.89036
,1.39017,103.98919
,1.3552,103.88595
,1.39164,103.90374
,1.32553,103.94749
